G GS MPG FG% 3p% FT% OFF DEF RPG APG SPG BPG TO PF PPG Class
538 156 21.5 0.427 0.357 0.665 0.8 2.3 3.1 0.8 0.7 0.4 1.0 2.3 8.4 1
150 3 14.9 0.375 0.309 0.743 0.3 1.2 1.5 2.0 0.6 0.0 1.0 1.0 6.0 1
355 33 11.5 0.389 0.304 0.729 0.3 0.8 1.1 1.4 0.6 0.1 0.8 1.5 3.6 1
629 429 32.0 0.447 0.380 0.838 1.0 2.8 3.8 2.1 0.9 0.1 1.5 1.6 19.0 1
346 41 20.5 0.427 0.400 0.876 0.2 1.6 1.7 1.6 0.4 0.0 0.8 1.3 8.4 1
805 794 34.6 0.441 0.372 0.708 1.2 3.8 5.0 2.7 1.2 0.4 1.8 2.3 17.5 1
640 397 27.1 0.431 0.357 0.868 0.5 1.9 2.4 4.9 1.1 0.2 1.7 2.2 9.9 1
448 81 23.0 0.425 0.354 0.798 0.7 1.8 2.5 2.8 0.9 0.1 1.4 2.5 11.2 1
437 384 32.6 0.481 0.241 0.619 1.1 3.3 4.4 8.1 1.9 0.1 2.7 2.2 10.8 1
279 278 36.8 0.464 0.310 0.815 1.0 2.9 3.8 6.8 0.9 0.4 2.9 1.5 21.0 1
41 31 34.2 0.357 0.340 0.803 0.5 3.7 4.2 8.2 2.2 0.2 3.2 2.4 10.6 1
289 105 26.9 0.439 0.413 0.720 0.5 3.1 3.6 1.1 0.6 0.7 1.1 1.6 9.1 1
28 0 12.8 0.347 0.308 0.636 0.3 0.7 0.9 2.1 0.6 0.0 1.2 1.0 3.0 1
720 349 26.9 0.440 0.363 0.802 0.5 2.5 3.1 2.5 0.9 0.3 1.4 1.9 10.0 1
409 265 22.2 0.438 0.322 0.730 0.7 3.0 3.7 1.5 1.0 0.5 1.0 1.8 5.4 1
28 0 8.4 0.347 0.133 0.786 0.1 0.5 0.5 1.1 0.2 0.0 1.0 0.6 2.3 1
323 108 25.4 0.449 0.333 0.787 0.6 2.5 3.1 5.0 0.8 0.1 2.0 1.6 11.1 1
59 35 28.9 0.401 0.306 0.798 0.7 2.4 3.2 2.8 1.7 0.1 1.9 2.9 9.5 1
2 0 19.0 0.267 0.167 0.667 1.0 1.0 2.0 1.5 0.0 0.0 1.5 2.5 5.5 1
33 11 20.3 0.399 0.080 0.767 0.5 1.5 2.0 3.2 0.4 0.1 1.5 1.1 5.5 1
69 4 9.8 0.378 0.316 0.613 0.2 1.0 1.2 1.7 0.5 0.1 0.7 0.8 2.5 1
538 130 24.2 0.427 0.369 0.740 0.5 2.4 2.9 2.0 1.0 0.2 1.5 2.1 12.5 1
44 4 12.3 0.372 0.289 0.714 0.4 0.9 1.3 1.4 0.4 0.1 1.0 1.2 3.8 1
54 1 10.3 0.366 0.114 0.613 0.2 1.1 1.3 1.2 0.5 0.1 1.0 0.8 2.6 1
22 2 8.1 0.419 0.182 0.727 0.2 0.9 1.1 1.7 0.4 0.3 0.5 0.8 1.6 1
334 236 29.7 0.424 0.281 0.834 0.8 2.3 3.1 4.4 1.0 0.2 2.0 2.5 13.8 1
207 76 18.7 0.451 0.332 0.779 0.2 1.4 1.6 2.8 0.9 0.4 1.2 1.5 6.9 1
489 190 22.2 0.393 0.314 0.779 0.3 1.3 1.6 3.6 0.8 0.1 1.6 2.2 7.6 1
1022 626 33.5 0.448 0.380 0.846 0.4 2.2 2.7 4.7 1.3 0.2 2.1 2.0 16.1 1
65 37 25.5 0.448 0.379 0.832 0.7 1.8 2.6 4.1 0.8 0.1 1.6 1.9 11.5 1
